Branch,5.10.y Commit Hash,5.10.y GitHub Link,5.10.y First Version,Description,Subsystem,Files Changed,CONFIG_ Parameters,5.10.y Applicability,Severity,Severity Reason,Backport Status,Cc stable,Cc security,Fix-1 5.10.y Commit Hash,Fix-2 5.10.y Commit Hash,Fix-3 5.10.y Commit Hash,Fix-4 5.10.y Commit Hash,Fix-5 5.10.y Commit Hash,Fix-1 Description,Fix-2 Description,Fix-3 Description,Fix-4 Description,Fix-5 Description,Matched CVEs
5.10.y,2283f79b22684d2812e5c76fc2280aae00390365,https://github.com/gregkh/linux/commit/2283f79b22684d2812e5c76fc2280aae00390365,5.10,can: dev: can_get_echo_skb(): prevent call to kfree_skb() in hard IRQ context,can,drivers/net/can/dev.c,File not found,Not applicable,High,WARN_ON triggered,All branches,No,No,39549eef3587f1c1e8c65c88a2400d10fd30ea17,,,,,can: CAN Network device driver and Netlink interface,,,,,CVE-2020-36789
5.10.y,2efece1368aeee2d2552c7ec36aeb676c4d4c95f,https://github.com/gregkh/linux/commit/2efece1368aeee2d2552c7ec36aeb676c4d4c95f,5.10.103,spi: spi-zynq-qspi: Fix a NULL pointer dereference in zynq_qspi_exec_mem_op(),spi,drivers/spi/spi-zynq-qspi.c,CONFIG_SPI_ZYNQ_QSPI,Not applicable,Medium,Fix (general bug fix),All branches,No,No,67dca5e580f1e93a66177389981541cac208c817,,,,,spi: spi-mem: Add support for Zynq QSPI controller,,,,,CVE-2021-4441
5.10.y,b5cd108143513e4498027b96ec4710702d186f11,https://github.com/gregkh/linux/commit/b5cd108143513e4498027b96ec4710702d186f11,5.10.121,drm/plane: Move range check for format_count earlier,drm/plane,drivers/gpu/drm/drm_plane.c,CONFIG_DRM,m-applicable,High,WARN_ON triggered,All branches,No,No,,,,,,,,,,,CVE-2021-47659
5.10.y,432b057f8e847ae5a2306515606f8d2defaca178,https://github.com/gregkh/linux/commit/432b057f8e847ae5a2306515606f8d2defaca178,5.10.110,ubi: Fix race condition between ctrl_cdev_ioctl and ubi_cdev_ioctl,ubi,drivers/mtd/ubi/build.c drivers/mtd/ubi/vmt.c,CONFIG_MTD_UBI,m-applicable,Critical,Use-after-free,All branches,No,No,714fb87e8bc05ff78255afc0dca981e8c5242785,,,,,ubi: Fix race condition between ubi device creation and udev,,,,,CVE-2021-47634
5.10.y,b6d44072117bba057d50f7a2f96e5d070c65926d,https://github.com/gregkh/linux/commit/b6d44072117bba057d50f7a2f96e5d070c65926d,5.10.168,can: j1939: fix errant WARN_ON_ONCE in j1939_session_deactivate,can,net/can/j1939/transport.c,CONFIG_CAN_J1939,m-applicable,Medium,Fix (general bug fix),All branches,No,No,0c71437dd50dd687c15d8ca80b3b68f10bb21d63,9d71dd0c70099914fcd063135da3c580865e924c,,,,can: j1939: j1939_session_deactivate(): clarify lifetime of session object,can: add support of SAE J1939 protocol,,,,CVE-2021-4454
5.10.y,67baac10dd5ad1e9f50e8f2659984b3b0728d54e,https://github.com/gregkh/linux/commit/67baac10dd5ad1e9f50e8f2659984b3b0728d54e,5.10.101,powerpc/fixmap: Fix VM debug warning on unmap,powerpc/fixmap,arch/powerpc/include/asm/book3s/32/pgtable.h arch/powerpc/include/asm/book3s/64/pgtable.h arch/powerpc/include/asm/fixmap.h arch/powerpc/include/asm/nohash/32/pgtable.h arch/powerpc/include/asm/nohash/64/pgtable.h arch/powerpc/mm/pgtable.c,No CONFIG_ found,File in NO list,Medium,Fix (general bug fix),All branches,No,No,,,,,,,,,,,CVE-2021-47623
5.10.y,6bb107332db28a0e9256c2d36a0902b85307612c,https://github.com/gregkh/linux/commit/6bb107332db28a0e9256c2d36a0902b85307612c,5.10.110,gpu: host1x: Fix a memory leak in 'host1x_remove()',gpu,drivers/gpu/host1x/dev.c,CONFIG_TEGRA_HOST1X,Not applicable,High,Memory leak,All branches,No,No,8474b02531c4881a762c52ef869c52429e38633f,,,,,gpu: host1x: Refactor channel allocation code,,,,,CVE-2021-47648
5.10.y,f3820ddaf4f3ac80c7401ccc6a42e663c9317f31,https://github.com/gregkh/linux/commit/f3820ddaf4f3ac80c7401ccc6a42e663c9317f31,5.10.110,brcmfmac: pcie: Release firmwares in the brcmf_pcie_setup error path,brcmfmac,drivers/net/wireless/broadcom/brcm80211/brcmfmac/pcie.c,CONFIG_BRCMFMAC_PCIE,y-applicable,Medium,Error path fix,All branches,Yes,No,82f93cf46d6007ffa003b2d4a2834563b6b84d21,4684997d9eea29380000e062755aa6d368d789a3,,,,brcmfmac: get chip's default RAM info during PCIe setup,brcmfmac: reset PCIe bus on a firmware crash,,,,CVE-2022-49263
5.10.y,0ead57ceb21bbf15963b4874c2ac67143455382f,https://github.com/gregkh/linux/commit/0ead57ceb21bbf15963b4874c2ac67143455382f,5.10.102,nvme: fix a possible use-after-free in controller reset during load,nvme,drivers/nvme/host/core.c,CONFIG_NVME_CORE,m-applicable,Critical,Use-after-free,All branches,No,No,,,,,,,,,,,CVE-2022-48790
5.10.y,e192184cf8bce8dd55d619f5611a2eaba996fa05,https://github.com/gregkh/linux/commit/e192184cf8bce8dd55d619f5611a2eaba996fa05,5.10.102,nvme-tcp: fix possible use-after-free in transport error_recovery work,nvme-tcp,drivers/nvme/host/tcp.c,CONFIG_NVME_TCP,m-applicable,Critical,Use-after-free,All branches,No,No,,,,,,,,,,,CVE-2022-48789
